Monika ROSSI 100
Vladymyr SMITH 67
Anastasiya MARIN 28
Michael ALONSO 28
Robert HANSEN 37
Brigitte BECKER 59
Aleksandra MARTINEZ 22
Nikolay KLEIN 66
Rosa JONES 26
Evgeniy SCHULZ 38
Giuseppe FERNANDEZ 61
Mária SMIRNOV 31
Christine SZABÓ 37
Nikolay GOMEZ 28
Yuliya ROBERTS 54
Wolfgang ALVAREZ 50
Alexander SMIRNOV 57
Marina BRAUN 60
Vera THOMAS 16
Serhei ALVAREZ 54
Marina POPOVA 27
Christian IVANOVA 66
Valentyna HANSEN 18
Darya HERNANDEZ 64
Thomas PEREIRA 69
Yuliya JOHNSON 31
Nikolay MILLER 32
Marina WOLF 40
Ekaterina MARTINEZ 31
Klaus COSTA 40
Richard NAGY 70
Mariya ALVAREZ 62
Andrei BAUER 31
Nadezhda PEREZ 126
Brigitte MARTIN 22
Wolfgang BROWN 71
Michel HERNANDEZ 33
Roman SCHMIDT 23
Richard WILLIAMS 25
Marta MARTIN 35
Giovanni NAVARRO 59
Andrei ROBERTS 34
Peter DIAZ 28
Sandra NAVARRO 29
Marta JOHNSON 29
David THOMAS 25
Alexander PETROV 25
Marie ROBERTS 64
Ivan NAVARRO 68
Maksim JOHNSON 84
Natalya KOCH 28
Jose FERREIRA 37
Jose MEIER 26
Maksim SCHMID 33
Anne WOLF 65
Andreas WOLF 125
Tatiana ROMERO 60
Manfred BAUER 37
Tomasz HANSEN 39
Elisabeth NOWAK 29
Paul FERNANDEZ 21
Darya THOMAS 71
Brigitte BONDARENKO 31
Mario MARTIN 27
Nykolai SCHULZ 26
Martin JOHANSSON 119
Josef SCHULZ 34
Paul IVANOVA 26
Igor SMITH 28
Mária MÜLLER 59
Pavel WEBER 30
Aleksandra KOCH 107
Michel HANSEN 30
Svetlana JOHNSON 50
Nikolay BECKER 126
Hans RICHTER 27
Denis ALVAREZ 31
Nikolay TORRES 35
Martin HANSEN 35
Marta SHEVCHENKO 22
Hans MILLER 93
Francisco KOCH 31
Giuseppe ROBERTS 22
Francesco NAGY 41
Tatyana POPOVA 17
Svetlana EVANS 24
Vladymyr FERNANDEZ 28
Mario PEREZ 82
Tatyana MEIER 27
Mario JIMENEZ 44
Thomas SANTOS 74
Daniel GARCIA 36
Brigitte BROWN 94
Maksim ROSSI 56
Antonio IVANOVA 28
Vera WILSON 58
Giuseppe COSTA 37
Francisco BECKER 21
Lyubov BECKER 65
Christian RUSSO 15
Marina NAGY 51
Vladimir MILLER 55
Roman GOMEZ 62
Mária SANTOS 51
Lyubov IVANOV 25
Marta MOROZOVA 61
David NOWAK 58
Anastasiya HANSEN 60
Olha IVANOV 67
Yuliya WILSON 32
Michel MILLER 28
Nadezhda DIAZ 42
Sandra PETROV 23
Andrea BRAUN 29
Michel VOLKOVA 32
Christian HOFFMANN 146
Marta MUÑOZ 66
Olha SMIRNOV 58
Daniel TORRES 28
Angela GOMEZ 27
Anne KOCH 37
Pavel RICHTER 59
Andreas KOCH 62
Maryia JIMENEZ 26
Andrea SHEVCHENKO 41
Laura THOMAS 19
Serhei SCHNEIDER 29
Rosa KUZNETSOV 50
Eva NOWAK 39
Alina JOHNSON 32
Elena KUZNETSOV 27
Alexander BRAUN 23
Nykolai FERREIRA 65
Nikolay MEIER 28
Klaus GARCIA 69
Josef FERREIRA 22
Paul ROBERTS 24
Peter BECKER 65
Natalya RUIZ 64
Olga ROBERTS 24
Nykolai BONDARENKO 22
Petra KOVALENKO 52
Daniel NOVIKOVA 41
Elisabeth TÓTH 105
Angela WEBER 28
Igor SCHMID 39
Darya ALONSO 30
Maryia PETROV 29
Alexander EVANS 54
Mario RODRIGUEZ 22
Martin DAVIES 58
Mikhail WAGNER 27
Giovanni RUIZ 29
Tomasz JOHNSON 30
David PEREZ 71
Nikolay RICHTER 25
Irina GARCIA 28
Mikhail TAYLOR 50
Vera TORRES 63
Valentyna RODRIGUEZ 67
Elena MARTINEZ 21
Nikolay MARTIN 58
Natalya KUZNETSOVA 34
David PETROV 30
Peter SMIRNOV 28
Elisabeth WAGNER 33
Tatiana KLEIN 30
Alina RUIZ 16
Sergey SANTOS 30
Pavel ALONSO 65
Aleksey SANCHEZ 27
Mária KOCH 29
Paul KOVÁCS 37
Andrea BAUER 62
Jean PETROV 28
Maria MILLER 66
Barbara ROSSI 26
Robert JOHNSON 95
Tatiana GARCIA 36
Jose GONZALEZ 55
Manfred SCHMID 30
Aleksandr KOVÁCS 34
Jan IVANOV 23
Vladimir ROSSI 64
Monika BAUER 26
Marta SMITH 55
Nadezhda JOHANSSON 63
Andrea IVANOV 102
Anne WAGNER 81
Sandra KOCH 21
Barbara SCHNEIDER 26
Mária SCHULZ 53
Evgeniy KOVÁCS 39
Ana HANSEN 67
Andrey SMIRNOV 28
Roman RAMOS 40
Svetlana SMIRNOV 21
Marina GONZALEZ 61
Sandra JOHNSON 52
Giovanni JOHNSON 40
Mario PETROV 30
Monika FERRARI 31
Maryia IVANOV 26
Juan WOLF 25
Denis MORENO 93
Aleksey MUÑOZ 32
Vladymyr EVANS 68
Marta NIELSEN 32
Mariya FERREIRA 39
Aleksey BROWN 102
Maria SOKOLOVA 58
John PAVLOVA 88
Marina ROMERO 27
Maryia KOVALENKO 30
Mária JENSEN 56
Peter SHEVCHENKO 57
Olga MAGOMEDOV 35
Svetlana SOKOLOVA 97
Jean MEYER 70
Svetlana SANCHEZ 30
Nykolai WAGNER 131
Christine ROSSI 33
Marina TAYLOR 81
Oksana THOMAS 28
Claude JOHANSSON 37
Josef WAGNER 32
Nadezhda JENSEN 27
Ivan WILSON 29
Christine ANDERSSON 56
Daniel SILVA 33
Anastasiya ROSSI 22
Richard COSTA 79
Robert BONDARENKO 56
Karin RAMOS 25
Elisabeth SHEVCHENKO 68
Barbara MEIER 56
Giovanni SCHÄFER 67
Michel DAVIES 93
Martin PETROVA 29
Claude MARTINEZ 51
Anastasiya SZABÓ 55
Piotr SCHÄFER 27
Christine KUZNETSOV 23
Yuliya KOVALENKO 70
Tatyana HERNANDEZ 24
Juan VASILEVA 18
Aleksandr MÜLLER 58
Manfred FERRARI 84
Francisco THOMAS 52
Tomasz HUBER 33
Marina ROSSI 32
Olga ZIMMERMANN 67
Aleksandra NAGY 22
Patrick VASILEVA 52
Andrey TÓTH 35
Tatyana EVANS 25
Yuliya RUIZ 58
Denis DIAZ 63
Martin SHEVCHENKO 36
Mikhail RODRIGUEZ 34
Roman HERNANDEZ 49
Anastasiya DIAZ 42
Evgeniy SMITH 26
Aleksandra VOLKOVA 28
Josef MORENO 48
Hans NAGY 29
Richard RAMOS 107
Maryia SIMON 34
Nykolai MORENO 30
Maria JENSEN 30
Michael IVANOVA 62
Olga TORRES 68
Roman ALVAREZ 109
Claude KOVALENKO 53
Jean SHEVCHENKO 88
Andrei SANCHEZ 28
Marie SILVA 41
Marta SANTOS 30
Dmitriy ROBERTS 24
Antonio KARLSSON 30
Anna NOVIKOVA 18
Peter NAVARRO 25
Olha ROSSI 64
John GUTIERREZ 28
Natalya GOMEZ 55
Nadezhda VASILEVA 80
Vladimir POPOV 59
Yuliya SMITH 49
Michel BAUER 110
Jan SOKOLOVA 35
Klaus KARLSSON 49
Andrea SOKOLOVA 26
Elena THOMAS 29
Rosa THOMAS 35
Piotr SANTOS 29
Yuliya POPOVA 60
Dmitriy MARTINEZ 54
Paul BROWN 22
Juan JIMENEZ 48
Wolfgang FISCHER 27
Maryia SOKOLOVA 31
Peter JOHANSSON 57
Nadezhda FERREIRA 35
Francesco TAYLOR 31
Marie HUBER 26
Michael PETROVA 30
Mária KLEIN 21
Maryia ANDERSSON 33
Manfred JOHNSON 29
Andrey VASILEVA 34
Olga KOVALENKO 29
Natalya RICHTER 35
Irina SANCHEZ 70
Anastasiya SCHULZ 39
Olga COSTA 29
Sergey MORENO 36
Mario FERREIRA 30
Eva DIAZ 27
Giuseppe LOPEZ 36
Andrea KLEIN 22
Andrey FERNANDEZ 36
Anastasiya KARLSSON 28
Angela NAVARRO 102
Monika NOWAK 57
Martin ROMERO 85
Mária SZABÓ 32
Igor RUSSO 35
Werner MEYER 28
Mariya FERNANDEZ 35
Dmitriy ALONSO 27
Ekaterina RAMOS 28
Josef NOVIKOVA 25
Marta GARCIA 101
Anastasiya BECKER 59
Olha ZIMMERMANN 63
Martin KUZNETSOV 24
Alexander IVANOVA 36
Vladimir WILSON 31
Ekaterina SANTOS 27
Nykolai NOVIKOVA 47
Michael SMITH 29
Elisabeth MARTIN 38
Aleksandra POPOV 22
Alexander MARIN 83
Vasylyi LOPEZ 30
Aleksandr MEYER 59
Eva TORRES 56
Alexander MEYER 118
Alexander SIMON 63
Aleksandr BONDARENKO 109
Tatyana POPOV 25
Oksana GARCIA 98
Igor HERNANDEZ 92
Vladimir ZIMMERMANN 37
Aleksey BRAUN 62
Valentyna MARTINEZ 22
Michael POPOVA 32
Wolfgang SILVA 26
Elena KUZNETSOVA 36
Rosa KUZNETSOVA 100
Vasylyi FERREIRA 24
Manfred SCHÄFER 71
Monika SCHMIDT 29
Hans SCHNEIDER 22
Ivan SHEVCHENKO 113
Antonio MEIER 30
Andrei BECKER 62
Sandra KRAVCHENKO 51
David MEYER 93
Anastasiya ROMERO 31
Evgeniy POPOVA 35
Vladimir BROWN 26
Irina SMITH 25
Richard SZABÓ 37
Thomas BONDARENKO 27
Ekaterina NAGY 105
Michel GUTIERREZ 63
Anastasiya MAGOMEDOV 28
Dmitriy ROSSI 82
Richard MILLER 29
Wolfgang TAYLOR 26
Christian KOCH 36
John SMIRNOVA 37
Denis GUTIERREZ 32
Ana ROMERO 30
Nikolay EVANS 61
Francisco BAUER 148
Aleksey JOHANSSON 30
Michael COSTA 23
Piotr TORRES 27
Richard MORENO 29
Olga NOVIKOVA 90
Rosa MOROZOVA 31
Francisco MARTINEZ 106
Francisco SANCHEZ 81
Brigitte RUIZ 22
Alina TORRES 36
Andrey GUTIERREZ 57
Jose RICHTER 74
Ana POPOV 90
Vladymyr KOCH 71
Yvan ANDERSSON 60
Rosa MEYER 63
Oksana RAMOS 32
Elena MEYER 16
Hans KLEIN 31
Maryia LOPEZ 27
Marina SMITH 27
Angela ROMERO 29
Aleksandra GONZALEZ 31
Marie KUZNETSOVA 27
Andreas NIELSEN 67
Valentyna HUBER 33
Vera KUZNETSOV 61
Andrei WOLF 30
Rosa SMIRNOVA 47
Vasylyi WEBER 30
Ana SANTOS 86
Ana GOMEZ 30
Tatiana MARTINEZ 32
Giuseppe FERREIRA 29
Francisco NAVARRO 27
John THOMAS 31
Christine DAVIES 47
Ana BONDARENKO 59
Ivan EVANS 57
Andrey WAGNER 60
Dmitriy SILVA 37
Vladymyr MARIN 30
Aleksandra MILLER 30
Lyubov SMIRNOVA 90
Martin PAVLOVA 108
Svetlana FISCHER 77
Petra SZABÓ 32
Francesco KUZNETSOVA 30
Juan KOVÁCS 27
Anna MEYER 21
Nadezhda SANTOS 55
Mario JOHANSSON 41
Nykolai SIMON 35
Josef SIMON 57
Hans TÓTH 53
Alina MOROZOVA 33
Aleksandr HANSEN 30
Paul BRAUN 36
Claude HUBER 36
Francisco SIMON 26
Marie SMIRNOV 23
Vasylyi NAVARRO 27
Olha WOLF 24
Ana BECKER 35
Anastasiya MOROZOVA 29
Thomas KLEIN 32
Aleksandra KUZNETSOV 73
Lyubov GONZALEZ 64
Anna MILLER 29
Yvan HOFFMANN 38
